A,p,t,R_train_A_p,R_validation_A_p
0,0.1,12.37,0.0,0.0
0,0.1,12.37,0.0,0.0
1,0.1,20.0,0.01,0.0
1,0.1,20.0,0.01,0.0
2,0.1,25.47,1.0,0.26
2,0.1,25.47,1.0,0.26
3,0.1,33.36,1.0,0.26
3,0.1,33.36,1.0,0.26
4,0.1,34.91,1.0,0.26
4,0.1,34.91,1.0,0.26
5,0.1,20.02,0.66,0.42
5,0.1,20.02,0.66,0.42
6,0.1,25.69,0.94,0.57
6,0.1,25.69,0.94,0.57
7,0.1,9.36,1.0,0.42
7,0.1,9.36,1.0,0.42
8,0.1,30.91,1.0,0.42
8,0.1,30.91,1.0,0.42
9,0.1,30.93,1.0,0.42
9,0.1,30.93,1.0,0.42
10,0.1,459.75,1.0,0.1
10,0.1,254.21,None,None
