A,p,t,R_train_A_p,R_validation_A_p
15,0.1,3.51,1.0,-0.17
15,0.2,9.57,1.0,-0.2
15,0.3,16.92,1.0,-0.04
15,0.4,26.38,1.0,0.07
15,0.5,37.85,1.0,0.12
15,0.6,50.79,1.0,0.16
15,0.7,66.89,1.0,0.21
15,0.8,84.33,1.0,0.24
15,0.9,104.28,1.0,0.28
15,1.0,126.27,1.0,0.31
10,0.1,3.83,1.0,-0.17
10,0.2,10.01,1.0,-0.2
10,0.3,18.78,1.0,-0.04
10,0.4,31.03,1.0,0.07
10,0.5,44.24,1.0,0.12
10,0.6,53.68,1.0,0.16
10,0.7,67.88,1.0,0.21
10,0.8,88.05,1.0,0.24
10,0.9,106.97,1.0,0.28
10,1.0,131.02,1.0,0.31
11,0.1,3.58,1.0,-0.07
11,0.2,8.43,1.0,-0.14
11,0.3,15.63,1.0,-0.02
11,0.4,26.13,1.0,0.1
11,0.5,37.55,1.0,0.15
11,0.6,26.4,None,None
