A,p,t,R_train_A_p,R_validation_A_p
30,0.1,0.97,0.09,0.03
38,0.1,0.68,0.46,0.26
34,0.1,1.3,0.46,0.26
39,0.1,0.68,0.46,0.26
31,0.1,1.0,0.45,0.23
28,0.1,1.58,1.0,0.53
27,0.1,0.49,1.0,0.53
29,0.1,2.13,1.0,0.53
33,0.1,1.03,0.46,0.26
37,0.1,0.44,0.46,0.26
32,0.1,1.39,0.46,0.26
36,0.1,1.06,0.46,0.26
35,0.1,0.75,0.46,0.25
16,0.1,0.5,0.83,0.24
14,0.1,0.98,1.0,0.27
12,0.1,1.07,1.0,0.27
11,0.1,1.0,1.0,0.25
18,0.1,1.21,0.61,0.28
19,0.1,1.02,0.54,0.28
15,0.1,1.27,1.0,0.24
17,0.1,1.04,0.7,0.28
10,0.1,0.86,1.0,0.24
13,0.1,1.01,1.0,0.27
22,0.1,1.0,1.0,0.53
20,0.1,1.51,1.0,0.51
24,0.1,0.31,1.0,0.52
25,0.1,1.08,1.0,0.51
23,0.1,0.45,1.0,0.52
21,0.1,1.66,1.0,0.51
26,0.1,2.66,1.0,0.52
5,0.1,1.13,1.0,0.28
6,0.1,0.26,1.0,0.11
7,0.1,0.2,1.0,0.11
8,0.1,0.26,1.0,0.11
9,0.1,0.18,1.0,0.11
0,0.1,0.91,1.0,0.26
1,0.1,0.07,1.0,0.1
2,0.1,0.25,1.0,0.1
3,0.1,0.32,1.0,0.1
4,0.1,0.24,1.0,0.1
9,0.2,0.26,1.0,0.17
8,0.2,0.45,1.0,0.17
7,0.2,0.2,1.0,0.17
6,0.2,2.81,1.0,0.43
5,0.2,1.62,1.0,0.43
39,0.2,1.28,0.54,0.37
38,0.2,1.29,0.54,0.37
37,0.2,0.86,0.54,0.37
36,0.2,2.12,0.51,0.34
35,0.2,1.66,0.39,0.26
34,0.2,2.72,0.54,0.37
33,0.2,2.1,0.54,0.37
32,0.2,2.6,0.52,0.35
31,0.2,1.78,0.36,0.24
30,0.2,1.52,0.03,0.01
3,0.2,0.47,1.0,0.15
29,0.2,3.44,1.0,0.62
28,0.2,2.97,1.0,0.62
27,0.2,0.98,1.0,0.63
26,0.2,3.62,1.0,0.63
25,0.2,2.29,1.0,0.58
24,0.2,0.49,1.0,0.62
23,0.2,0.78,1.0,0.62
22,0.2,2.61,1.0,0.63
21,0.2,2.21,1.0,0.62
20,0.2,3.5,1.0,0.59
2,0.2,0.34,1.0,0.15
19,0.2,1.89,0.57,0.38
18,0.2,2.02,0.63,0.35
17,0.2,2.05,0.69,0.3
16,0.2,0.83,0.78,0.28
15,0.2,3.11,1.0,0.28
14,0.2,1.64,1.0,0.35
13,0.2,1.94,1.0,0.33
12,0.2,1.92,1.0,0.3
11,0.2,1.76,1.0,0.29
10,0.2,1.11,1.0,0.28
1,0.2,0.89,1.0,0.28
0,0.2,1.25,1.0,0.36
4,0.2,0.33,1.0,0.15
9,0.3,0.37,1.0,0.18
8,0.3,0.71,1.0,0.18
7,0.3,0.31,1.0,0.18
6,0.3,3.93,1.0,0.43
5,0.3,2.16,1.0,0.48
4,0.3,0.48,1.0,0.12
39,0.3,1.95,0.67,0.52
38,0.3,1.93,0.67,0.51
37,0.3,1.34,0.67,0.51
36,0.3,2.0,0.65,0.49
35,0.3,1.8,0.47,0.35
34,0.3,4.35,0.67,0.52
33,0.3,3.39,0.67,0.51
32,0.3,4.46,0.65,0.49
31,0.3,2.73,0.48,0.35
30,0.3,2.08,0.02,0.01
3,0.3,0.61,1.0,0.12
29,0.3,4.49,1.0,0.62
28,0.3,5.35,1.0,0.62
27,0.3,1.63,1.0,0.63
