A,p,t,R_train_A_p,R_validation_A_p
39,0.1,0.68,0.46,0.26
39,0.2,1.28,0.54,0.37
39,0.3,1.95,0.67,0.52
39,0.4,2.63,0.73,0.61
39,0.5,3.26,0.75,0.65
39,0.6,4.07,0.76,0.67
39,0.7,5.01,0.75,0.68
39,0.8,5.56,0.76,0.69
39,0.9,6.69,0.76,0.71
39,1.0,7.43,0.76,0.72
38,0.1,0.68,0.46,0.26
38,0.2,1.29,0.54,0.37
38,0.3,1.93,0.67,0.51
38,0.4,2.7,0.73,0.61
38,0.5,3.52,0.75,0.65
38,0.6,4.22,0.76,0.67
38,0.7,5.04,0.75,0.68
38,0.8,5.82,0.76,0.69
38,0.9,6.66,0.76,0.71
38,1.0,7.47,0.76,0.72
14,0.1,0.98,1.0,0.27
14,0.2,1.64,1.0,0.35
14,0.3,2.33,1.0,0.38
14,0.4,3.27,1.0,0.4
14,0.5,4.13,1.0,0.42
14,0.6,5.69,1.0,0.44
14,0.7,7.26,1.0,0.46
14,0.8,9.16,1.0,0.47
14,0.9,10.96,1.0,0.48
14,1.0,13.4,1.0,0.49
20,0.1,1.51,1.0,0.51
20,0.2,3.5,1.0,0.59
20,0.3,7.14,1.0,0.62
20,0.4,10.09,1.0,0.65
20,0.5,15.58,1.0,0.68
20,0.6,21.79,1.0,0.69
20,0.7,22.66,1.0,0.7
20,0.8,22.64,1.0,0.71
20,0.9,23.32,1.0,0.71
20,1.0,29.73,1.0,0.72
21,0.1,1.66,1.0,0.51
21,0.2,2.21,1.0,0.62
21,0.3,4.38,1.0,0.64
21,0.4,6.16,1.0,0.67
21,0.5,7.37,1.0,0.67
21,0.6,9.3,1.0,0.69
21,0.7,10.5,1.0,0.69
21,0.8,11.85,1.0,0.7
21,0.9,13.13,1.0,0.7
21,1.0,15.29,1.0,0.69
13,0.1,1.01,1.0,0.27
13,0.2,1.94,1.0,0.33
13,0.3,3.08,1.0,0.36
13,0.4,4.14,1.0,0.38
13,0.5,5.87,1.0,0.41
13,0.6,7.65,1.0,0.43
13,0.7,10.19,1.0,0.46
13,0.8,13.01,1.0,0.46
13,0.9,16.68,1.0,0.47
13,1.0,19.94,1.0,0.47
6,0.1,0.26,1.0,0.11
6,0.2,2.81,1.0,0.43
6,0.3,3.93,1.0,0.43
6,0.4,5.01,1.0,0.48
6,0.5,5.98,1.0,0.5
6,0.6,7.6,1.0,0.51
6,0.7,8.39,1.0,0.54
6,0.8,9.31,1.0,0.55
6,0.9,10.76,1.0,0.53
6,1.0,11.92,1.0,0.54
36,0.1,1.06,0.46,0.26
36,0.2,2.12,0.51,0.34
36,0.3,2.0,0.65,0.49
36,0.4,2.72,0.7,0.59
36,0.5,3.6,0.73,0.65
36,0.6,4.78,0.75,0.66
36,0.7,5.6,0.74,0.68
36,0.8,6.33,0.75,0.69
36,0.9,7.05,0.75,0.7
36,1.0,7.85,0.75,0.71
28,0.1,1.58,1.0,0.53
28,0.2,2.97,1.0,0.62
28,0.3,5.35,1.0,0.62
28,0.4,6.17,1.0,0.66
28,0.5,8.91,1.0,0.67
28,0.6,12.0,1.0,0.68
28,0.7,15.13,1.0,0.7
28,0.8,16.24,1.0,0.69
28,0.9,23.01,1.0,0.7
28,1.0,27.68,1.0,0.7
25,0.1,1.08,1.0,0.51
25,0.2,2.29,1.0,0.58
25,0.3,3.46,1.0,0.63
25,0.4,6.11,1.0,0.66
25,0.5,8.97,1.0,0.67
25,0.6,12.41,1.0,0.7
25,0.7,15.95,1.0,0.71
25,0.8,18.2,1.0,0.73
25,0.9,23.91,1.0,0.73
25,1.0,23.53,1.0,0.74
18,0.1,1.21,0.61,0.28
18,0.2,2.02,0.63,0.35
18,0.3,3.25,0.64,0.38
18,0.4,4.57,0.64,0.38
18,0.5,6.51,0.66,0.42
18,0.6,8.01,0.66,0.45
18,0.7,11.23,0.67,0.48
18,0.8,13.41,0.67,0.49
18,0.9,17.32,0.67,0.49
18,1.0,20.85,0.68,0.5
0,0.1,0.91,1.0,0.26
0,0.2,1.25,1.0,0.36
0,0.3,1.64,1.0,0.44
0,0.4,2.11,0.98,0.42
0,0.5,2.44,0.96,0.43
0,0.6,2.89,0.94,0.48
0,0.7,3.28,0.92,0.5
0,0.8,3.77,0.89,0.52
0,0.9,4.26,0.87,0.53
0,1.0,4.61,0.85,0.52
1,0.1,0.07,1.0,0.1
1,0.2,0.89,1.0,0.28
1,0.3,1.22,1.0,0.32
1,0.4,1.54,1.0,0.37
1,0.5,1.87,1.0,0.42
1,0.6,2.27,1.0,0.44
1,0.7,2.55,1.0,0.45
1,0.8,2.92,1.0,0.47
1,0.9,3.27,1.0,0.5
1,1.0,3.56,1.0,0.53
27,0.1,0.49,1.0,0.53
27,0.2,0.98,1.0,0.63
27,0.3,1.63,1.0,0.63
27,0.4,2.36,1.0,0.67
27,0.5,3.38,1.0,0.66
27,0.6,4.68,1.0,0.67
27,0.7,6.24,1.0,0.69
27,0.8,7.1,1.0,0.69
27,0.9,9.52,1.0,0.7
27,1.0,11.18,1.0,0.71
5,0.1,1.13,1.0,0.28
5,0.2,1.62,1.0,0.43
5,0.3,2.16,1.0,0.48
5,0.4,2.73,0.99,0.49
5,0.5,3.14,0.98,0.51
5,0.6,3.8,0.96,0.52
5,0.7,4.24,0.94,0.53
5,0.8,4.78,0.92,0.54
5,0.9,5.41,0.91,0.54
5,1.0,5.89,0.88,0.57
32,0.1,1.39,0.46,0.26
32,0.2,2.6,0.52,0.35
32,0.3,4.46,0.65,0.49
32,0.4,5.93,0.71,0.59
32,0.5,7.49,0.74,0.65
32,0.6,8.69,0.75,0.66
