A,p,t,R_train_A_p,R_validation_A_p
0,0.1,18.84,0.97,-0.21
34,0.1,4.91,0.31,0.3
37,0.1,1.85,0.31,0.3
38,0.1,2.25,0.31,0.3
39,0.1,2.26,0.31,0.3
10,0.1,56.04,0.97,-0.49
0,0.2,34.06,0.98,-0.2
34,0.2,7.88,0.31,0.31
37,0.2,2.6,0.31,0.31
38,0.2,3.45,0.31,0.31
39,0.2,3.49,0.31,0.31
10,0.2,165.26,0.98,-0.54
0,0.3,50.4,0.99,-0.19
34,1,33.78,0.3,0.34
34,1,33.78,0.3,0.34
34,1,33.78,0.3,0.34
34,1,33.78,0.3,0.34
34,1,33.78,0.3,0.34
34,1,33.78,0.3,0.34
34,1,33.78,0.3,0.34
34,1,33.78,0.3,0.34
34,1,33.78,0.3,0.34
34,1,33.78,0.3,0.34
34,1,33.78,0.3,0.34
34,1,33.78,0.3,0.34
34,1,33.78,0.3,0.34
34,1,33.78,0.3,0.34
34,1,33.78,0.3,0.34
34,1,33.78,0.3,0.34
34,1,33.78,0.3,0.34
34,1,33.78,0.3,0.34
34,1,33.78,0.3,0.34
34,1,33.78,0.3,0.34
34,1,33.78,0.3,0.34
34,1,33.78,0.3,0.34
34,1,33.78,0.3,0.34
34,1,33.78,0.3,0.34
34,1,33.78,0.3,0.34
34,1,2.21,None,None
