A,p,t,R_train_A_p,R_validation_A_p
0,0.1,0.91,1.0,0.26
1,0.1,0.07,1.0,0.1
2,0.1,0.25,1.0,0.1
3,0.1,0.32,1.0,0.1
4,0.1,0.24,1.0,0.1
5,0.1,1.13,1.0,0.28
6,0.1,0.26,1.0,0.11
7,0.1,0.2,1.0,0.11
8,0.1,0.26,1.0,0.11
9,0.1,0.18,1.0,0.11
10,0.1,0.86,1.0,0.24
11,0.1,1.0,1.0,0.25
12,0.1,1.07,1.0,0.27
13,0.1,1.01,1.0,0.27
14,0.1,0.98,1.0,0.27
15,0.1,1.27,1.0,0.24
16,0.1,0.5,0.83,0.24
17,0.1,1.04,0.7,0.28
18,0.1,1.21,0.61,0.28
19,0.1,1.02,0.54,0.28
20,0.1,1.51,1.0,0.51
21,0.1,1.66,1.0,0.51
22,0.1,1.0,1.0,0.53
23,0.1,0.45,1.0,0.52
24,0.1,0.31,1.0,0.52
25,0.1,1.08,1.0,0.51
26,0.1,2.66,1.0,0.52
27,0.1,0.49,1.0,0.53
28,0.1,1.58,1.0,0.53
29,0.1,2.13,1.0,0.53
30,0.1,0.97,0.09,0.03
31,0.1,1.0,0.45,0.23
32,0.1,1.39,0.46,0.26
33,0.1,1.03,0.46,0.26
34,0.1,1.3,0.46,0.26
35,0.1,0.75,0.46,0.25
36,0.1,1.06,0.46,0.26
37,0.1,0.44,0.46,0.26
38,0.1,0.68,0.46,0.26
39,0.1,0.68,0.46,0.26
32,0.2,2.6,0.52,0.35
32,0.3,4.46,0.65,0.49
29,0.2,3.44,1.0,0.62
29,0.3,4.49,1.0,0.62
9,0.2,0.26,1.0,0.17
9,0.3,0.37,1.0,0.18
30,0.2,1.52,0.03,0.01
7,0.2,0.2,1.0,0.17
7,0.3,0.31,1.0,0.18
30,0.3,2.08,0.02,0.01
5,0.2,1.62,1.0,0.43
5,0.3,2.16,1.0,0.48
34,0.2,2.72,0.54,0.37
34,0.3,4.35,0.67,0.52
13,0.2,1.94,1.0,0.33
13,0.3,3.08,1.0,0.36
32,0.4,5.93,0.71,0.59
7,0.4,0.4,1.0,0.2
0,0.2,1.25,1.0,0.36
13,0.4,4.14,1.0,0.38
0,0.3,1.64,1.0,0.44
24,0.2,0.49,1.0,0.62
24,0.3,1.14,1.0,0.64
25,0.2,2.29,1.0,0.58
25,0.3,3.46,1.0,0.63
31,0.2,1.78,0.36,0.24
31,0.3,2.73,0.48,0.35
25,0.4,6.11,1.0,0.66
27,0.2,0.98,1.0,0.63
27,0.3,1.63,1.0,0.63
36,0.2,2.12,0.51,0.34
36,0.3,2.0,0.65,0.49
2,0.2,0.34,1.0,0.15
2,0.3,0.5,1.0,0.12
20,0.2,3.5,1.0,0.59
28,0.2,2.97,1.0,0.62
20,0.3,7.14,1.0,0.62
28,0.3,5.35,1.0,0.62
23,0.2,0.78,1.0,0.62
24,0.4,1.43,1.0,0.65
25,0.5,8.97,1.0,0.67
23,0.3,1.97,1.0,0.64
11,0.2,1.76,1.0,0.29
11,0.3,2.74,1.0,0.31
34,0.4,6.0,0.73,0.61
2,0.4,0.58,1.0,0.15
36,0.4,2.72,0.7,0.59
36,0.5,3.6,0.73,0.65
24,0.5,2.38,1.0,0.67
1,0.2,0.89,1.0,0.28
23,0.4,3.43,1.0,0.66
1,0.3,1.22,1.0,0.32
20,0.4,10.09,1.0,0.65
28,0.4,6.17,1.0,0.66
15,0.2,3.11,1.0,0.28
1,0.4,1.54,1.0,0.37
15,0.3,3.31,1.0,0.31
23,0.5,4.63,1.0,0.67
22,0.2,2.61,1.0,0.63
7,0.5,0.49,1.0,0.22
22,0.3,4.17,1.0,0.64
0,0.4,2.11,0.98,0.42
36,0.6,4.78,0.75,0.66
26,0.2,3.62,1.0,0.63
26,0.3,5.0,1.0,0.65
9,0.4,0.48,1.0,0.2
14,0.2,1.64,1.0,0.35
14,0.3,2.33,1.0,0.38
26,0.4,7.78,1.0,0.68
10,0.2,1.11,1.0,0.28
10,0.3,1.34,1.0,0.31
5,0.4,2.73,0.99,0.49
28,0.5,8.91,1.0,0.67
12,0.2,1.92,1.0,0.3
12,0.3,3.07,1.0,0.34
4,0.2,0.33,1.0,0.15
4,0.3,0.48,1.0,0.12
7,0.6,0.61,1.0,0.24
3,0.2,0.47,1.0,0.15
3,0.3,0.61,1.0,0.12
35,0.2,1.66,0.39,0.26
35,0.3,1.8,0.47,0.35
33,0.2,2.1,0.54,0.37
33,0.3,3.39,0.67,0.51
5,0.5,3.14,0.98,0.51
18,0.2,2.02,0.63,0.35
18,0.3,3.25,0.64,0.38
