A,p,t,R_train_A_p,R_validation_A_p
9,1.0,10.8,1.0,0.25
39,1.0,11.58,0.33,0.36
32,1.0,13.73,0.33,0.35
37,1.0,5.4,0.33,0.36
38,1.0,9.51,0.33,0.36
4,0.1,0.69,1.0,0.19
5,0.1,5.68,0.69,0.28
7,0.1,0.28,1.0,0.2
13,0.1,12.65,1.0,0.28
23,0.1,57.35,0.63,0.42
4,0.2,1.34,1.0,0.19
5,0.2,11.69,0.65,0.3
7,0.2,19.03,1.0,0.26
13,0.2,53.36,1.0,0.25
23,0.2,122.27,0.58,0.45
4,0.4,2.8,1.0,0.22
5,0.4,24.08,0.62,0.38
7,0.4,41.27,1.0,0.24
13,0.4,164.3,1.0,0.26
23,0.4,234.91,0.56,0.48
4,0.8,6.45,1.0,0.24
5,0.8,50.03,0.61,0.43
7,0.8,88.85,1.0,0.27
13,0.8,251.95,None,None
