A,p,t,R_train_A_p,R_validation_A_p
30,0.1,1.32,0.33,0.34
30,0.2,2.35,0.33,0.35
30,0.3,3.44,0.35,0.36
30,0.4,4.56,0.34,0.36
30,0.5,5.74,0.34,0.35
30,0.6,6.81,0.34,0.35
30,0.7,8.02,0.35,0.35
30,0.8,9.12,0.35,0.35
30,0.9,9.72,0.35,0.35
30,1.0,11.38,0.35,0.35
10,0.1,2.57,1.0,0.11
10,0.2,5.93,1.0,0.1
10,0.3,10.06,1.0,0.1
10,0.4,16.78,1.0,0.11
10,0.5,24.5,1.0,0.12
10,0.6,37.7,1.0,0.13
10,0.7,48.73,1.0,0.13
10,0.8,63.72,1.0,0.14
10,0.9,80.58,1.0,0.13
10,1.0,98.67,1.0,0.12
15,0.1,3.91,1.0,0.11
15,0.2,8.24,1.0,0.1
15,0.3,17.78,1.0,0.1
15,0.4,33.1,1.0,0.11
15,0.5,53.73,1.0,0.12
15,0.6,78.83,1.0,0.13
15,0.7,115.75,1.0,0.13
15,0.8,136.76,1.0,0.14
15,0.9,206.5,1.0,0.13
15,1.0,93.7,None,None
