A,p,t,R_train_A_p,R_validation_A_p
8,0.1,3.43,1.0,0.25
8,0.2,4.63,1.0,0.25
8,0.3,5.04,1.0,0.25
8,0.4,7.26,1.0,0.27
8,0.5,8.93,1.0,0.31
8,0.6,10.57,1.0,0.27
8,0.7,11.07,1.0,0.31
8,0.8,11.86,1.0,0.31
8,0.9,15.2,1.0,0.3
8,1.0,15.78,1.0,0.34
8,1.0,15.78,1.0,0.34
8,1.0,15.78,1.0,0.34
8,1.0,15.78,1.0,0.34
8,1.0,15.78,1.0,0.34
8,1.0,15.78,1.0,0.34
8,1.0,15.78,1.0,0.34
8,1.0,15.78,1.0,0.34
8,1.0,15.78,1.0,0.34
8,1.0,15.78,1.0,0.34
8,1.0,15.78,1.0,0.34
8,1.0,15.78,1.0,0.34
8,1.0,15.78,1.0,0.34
8,1.0,15.78,1.0,0.34
8,1.0,15.78,1.0,0.34
8,1.0,15.78,1.0,0.34
8,1.0,15.78,1.0,0.34
8,1.0,15.78,1.0,0.34
8,1.0,15.78,1.0,0.34
8,1.0,15.78,1.0,0.34
8,1.0,15.78,1.0,0.34
8,1.0,15.78,1.0,0.34
8,1.0,15.78,1.0,0.34
8,1.0,15.78,1.0,0.34
8,1.0,15.78,1.0,0.34
8,1.0,15.78,1.0,0.34
8,1.0,15.78,1.0,0.34
8,1.0,15.78,1.0,0.34
8,1.0,15.78,1.0,0.34
8,1.0,15.78,1.0,0.34
8,1.0,15.78,1.0,0.34
8,1.0,15.78,1.0,0.34
8,1.0,15.78,1.0,0.34
8,1.0,15.78,1.0,0.34
8,1.0,15.78,1.0,0.34
8,1.0,15.78,1.0,0.34
8,1.0,15.78,1.0,0.34
8,1.0,15.78,1.0,0.34
8,1.0,15.78,1.0,0.34
8,1.0,15.78,1.0,0.34
8,1.0,15.78,1.0,0.34
8,1.0,15.78,1.0,0.34
8,1.0,15.78,1.0,0.34
8,1.0,15.78,1.0,0.34
8,1.0,15.78,1.0,0.34
8,1.0,15.78,1.0,0.34
8,1.0,15.78,1.0,0.34
8,1.0,15.78,1.0,0.34
8,1.0,15.78,1.0,0.34
8,1.0,15.78,1.0,0.34
8,1.0,15.78,1.0,0.34
8,1.0,15.78,1.0,0.34
8,1.0,15.78,1.0,0.34
8,1.0,15.78,1.0,0.34
8,1.0,15.78,1.0,0.34
8,1.0,15.78,1.0,0.34
8,1.0,15.78,1.0,0.34
8,1.0,15.78,1.0,0.34
8,1.0,15.78,1.0,0.34
8,1.0,15.78,1.0,0.34
8,1.0,15.78,1.0,0.34
8,1.0,15.78,1.0,0.34
8,1.0,15.78,1.0,0.34
8,1.0,15.78,1.0,0.34
8,1.0,15.78,1.0,0.34
8,1.0,15.78,1.0,0.34
8,1.0,15.78,1.0,0.34
8,1.0,15.78,1.0,0.34
8,1.0,15.78,1.0,0.34
8,1.0,15.78,1.0,0.34
8,1.0,15.78,1.0,0.34
8,1.0,1.63,None,None
