A,p,t,R_train_A_p,R_validation_A_p
0,0.1,0.91,1.0,0.26
1,0.1,0.07,1.0,0.1
2,0.1,0.25,1.0,0.1
3,0.1,0.32,1.0,0.1
4,0.1,0.24,1.0,0.1
5,0.1,1.13,1.0,0.28
6,0.1,0.26,1.0,0.11
7,0.1,0.2,1.0,0.11
8,0.1,0.26,1.0,0.11
9,0.1,0.18,1.0,0.11
10,0.1,0.86,1.0,0.24
11,0.1,1.0,1.0,0.25
12,0.1,1.07,1.0,0.27
13,0.1,1.01,1.0,0.27
14,0.1,0.98,1.0,0.27
15,0.1,1.27,1.0,0.24
16,0.1,0.5,0.83,0.24
17,0.1,1.04,0.7,0.28
18,0.1,1.21,0.61,0.28
19,0.1,1.02,0.54,0.28
20,0.1,1.51,1.0,0.51
21,0.1,1.66,1.0,0.51
22,0.1,1.0,1.0,0.53
23,0.1,0.45,1.0,0.52
24,0.1,0.31,1.0,0.52
25,0.1,1.08,1.0,0.51
26,0.1,2.66,1.0,0.52
27,0.1,0.49,1.0,0.53
28,0.1,1.58,1.0,0.53
29,0.1,2.13,1.0,0.53
30,0.1,0.97,0.09,0.03
31,0.1,1.0,0.45,0.23
32,0.1,1.39,0.46,0.26
33,0.1,1.03,0.46,0.26
34,0.1,1.3,0.46,0.26
35,0.1,0.75,0.46,0.25
36,0.1,1.06,0.46,0.26
37,0.1,0.44,0.46,0.26
38,0.1,0.68,0.46,0.26
39,0.1,0.68,0.46,0.26
22,0.2,2.61,1.0,0.63
22,0.3,4.17,1.0,0.64
5,0.2,1.62,1.0,0.43
5,0.3,2.16,1.0,0.48
32,0.2,2.6,0.52,0.35
32,0.3,4.46,0.65,0.49
5,0.4,2.73,0.99,0.49
22,0.4,6.52,1.0,0.66
5,0.5,3.14,0.98,0.51
32,0.4,5.93,0.71,0.59
17,0.2,2.05,0.69,0.3
5,0.6,3.8,0.96,0.52
22,0.5,8.15,1.0,0.66
32,0.5,7.49,0.74,0.65
32,0.6,8.69,0.75,0.66
5,0.7,4.24,0.94,0.53
5,0.8,4.78,0.92,0.54
5,0.9,5.41,0.91,0.54
32,0.7,9.73,0.75,0.67
22,0.6,9.51,1.0,0.69
22,0.7,12.41,1.0,0.68
17,0.3,3.64,0.69,0.34
5,1.0,5.89,0.88,0.57
22,0.8,14.68,1.0,0.69
5,1.0,5.89,0.88,0.57
5,1.0,5.89,0.88,0.57
5,1.0,5.89,0.88,0.57
5,1.0,5.89,0.88,0.57
17,0.4,7.94,0.69,0.36
32,0.8,10.36,0.75,0.69
22,0.9,17.71,1.0,0.69
22,1.0,20.7,1.0,0.69
17,0.5,4.85,0.69,0.39
5,1.0,5.89,0.88,0.57
22,1.0,20.7,1.0,0.69
22,1.0,20.7,1.0,0.69
22,1.0,20.7,1.0,0.69
17,0.6,5.79,0.7,0.41
32,0.9,12.78,0.75,0.7
32,1.0,12.62,0.75,0.71
32,1.0,12.62,0.75,0.71
32,1.0,12.62,0.75,0.71
5,1.0,5.89,0.88,0.57
22,1.0,20.7,1.0,0.69
32,1.0,12.62,0.75,0.71
17,0.7,7.55,0.71,0.4
22,1.0,20.7,1.0,0.69
32,1.0,12.62,0.75,0.71
22,1.0,20.7,1.0,0.69
22,1.0,20.7,1.0,0.69
22,1.0,20.7,1.0,0.69
5,1.0,5.89,0.88,0.57
32,1.0,12.62,0.75,0.71
22,1.0,20.7,1.0,0.69
5,1.0,5.89,0.88,0.57
32,1.0,12.62,0.75,0.71
17,0.8,9.45,0.7,0.43
5,1.0,5.89,0.88,0.57
22,1.0,20.7,1.0,0.69
32,1.0,12.62,0.75,0.71
22,1.0,20.7,1.0,0.69
22,1.0,20.7,1.0,0.69
22,1.0,20.7,1.0,0.69
32,1.0,12.62,0.75,0.71
5,1.0,5.89,0.88,0.57
5,1.0,5.89,0.88,0.57
5,1.0,5.89,0.88,0.57
22,1.0,20.7,1.0,0.69
22,1.0,20.7,1.0,0.69
32,1.0,12.62,0.75,0.71
22,1.0,20.7,1.0,0.69
22,1.0,20.7,1.0,0.69
17,0.9,11.54,0.71,0.44
22,1.0,20.7,1.0,0.69
17,1.0,14.05,0.71,0.45
22,1.0,20.7,1.0,0.69
22,1.0,20.7,1.0,0.69
22,1.0,20.7,1.0,0.69
22,1.0,20.7,1.0,0.69
32,1.0,12.62,0.75,0.71
5,1.0,5.89,0.88,0.57
5,1.0,5.89,0.88,0.57
17,1.0,14.05,0.71,0.45
22,1.0,20.7,1.0,0.69
17,1.0,14.05,0.71,0.45
22,1.0,20.7,1.0,0.69
17,1.0,14.05,0.71,0.45
22,1.0,20.7,1.0,0.69
17,1.0,14.05,0.71,0.45
32,1.0,12.62,0.75,0.71
5,1.0,5.89,0.88,0.57
5,1.0,5.89,0.88,0.57
22,1.0,20.7,1.0,0.69
22,1.0,20.7,1.0,0.69
17,1.0,14.05,0.71,0.45
32,1.0,12.62,0.75,0.71
17,1.0,14.05,0.71,0.45
5,1.0,3.42,None,None
