A,p,t,R_train_A_p,R_validation_A_p
30,0.1,4.85,0.25,0.25
30,0.2,9.01,0.25,0.25
30,0.3,12.89,0.25,0.25
30,0.4,15.91,0.25,0.25
30,0.5,17.99,0.25,0.25
30,0.6,19.18,0.25,0.25
30,0.7,24.63,0.25,0.25
30,0.8,22.95,0.25,0.25
30,0.9,23.18,0.25,0.25
30,1.0,27.4,0.25,0.25
30,1.0,27.4,0.25,0.25
30,1.0,27.4,0.25,0.25
30,1.0,27.4,0.25,0.25
30,1.0,27.4,0.25,0.25
30,1.0,27.4,0.25,0.25
30,1.0,27.4,0.25,0.25
30,1.0,27.4,0.25,0.25
30,1.0,27.4,0.25,0.25
30,1.0,27.4,0.25,0.25
30,1.0,27.4,0.25,0.25
30,1.0,27.4,0.25,0.25
30,1.0,27.4,0.25,0.25
30,1.0,27.4,0.25,0.25
30,1.0,27.4,0.25,0.25
30,1.0,27.4,0.25,0.25
30,1.0,27.4,0.25,0.25
30,1.0,27.4,0.25,0.25
30,1.0,27.4,0.25,0.25
30,1.0,27.4,0.25,0.25
30,1.0,27.4,0.25,0.25
30,1.0,27.4,0.25,0.25
30,1.0,27.4,0.25,0.25
30,1.0,27.4,0.25,0.25
30,1.0,27.4,0.25,0.25
30,1.0,27.4,0.25,0.25
30,1.0,27.4,0.25,0.25
30,1.0,27.4,0.25,0.25
30,1.0,27.4,0.25,0.25
30,1.0,27.4,0.25,0.25
30,1.0,27.4,0.25,0.25
30,1.0,27.4,0.25,0.25
30,1.0,27.4,0.25,0.25
30,1.0,27.4,0.25,0.25
30,1.0,27.4,0.25,0.25
30,1.0,27.4,0.25,0.25
30,1.0,27.4,0.25,0.25
30,1.0,27.4,0.25,0.25
30,1.0,8.21,None,None
