A,p,t,R_train_A_p,R_validation_A_p
15,0.6,9.65,1.0,0.34
11,0.7,9.08,1.0,0.36
6,0.2,2.81,1.0,0.43
38,0.6,4.22,0.76,0.67
21,0.4,6.16,1.0,0.67
28,0.3,5.35,1.0,0.62
5,0.6,3.8,0.96,0.52
13,1.0,19.94,1.0,0.47
28,0.5,8.91,1.0,0.67
14,0.2,1.64,1.0,0.35
2,0.9,1.26,1.0,0.19
12,0.6,7.58,1.0,0.4
36,0.3,2.0,0.65,0.49
17,0.6,5.79,0.7,0.41
5,1.0,5.89,0.88,0.57
22,1.0,20.7,1.0,0.69
8,0.7,1.09,1.0,0.24
18,0.9,17.32,0.67,0.49
17,0.8,9.45,0.7,0.43
22,0.7,12.41,1.0,0.68
18,0.7,11.23,0.67,0.48
36,0.7,5.6,0.74,0.68
2,0.7,0.99,1.0,0.19
9,0.4,0.48,1.0,0.2
0,0.8,3.77,0.89,0.52
39,0.9,6.69,0.76,0.71
27,0.9,9.52,1.0,0.7
14,0.1,0.98,1.0,0.27
29,0.9,21.64,1.0,0.7
18,0.9,17.32,0.67,0.49
21,0.4,6.16,1.0,0.67
4,1.0,1.29,1.0,0.2
18,0.2,2.02,0.63,0.35
15,0.1,1.27,1.0,0.24
2,0.9,1.26,1.0,0.19
12,0.7,10.2,1.0,0.4
36,0.1,1.06,0.46,0.26
0,0.8,3.77,0.89,0.52
7,0.3,0.31,1.0,0.18
32,0.5,7.49,0.74,0.65
15,0.1,1.27,1.0,0.24
33,0.9,11.78,0.76,0.71
26,0.1,2.66,1.0,0.52
39,0.2,1.28,0.54,0.37
21,0.3,4.38,1.0,0.64
16,0.9,7.55,0.78,0.36
30,0.1,0.97,0.09,0.03
22,0.4,6.52,1.0,0.66
12,0.2,1.92,1.0,0.3
34,0.2,2.72,0.54,0.37
10,0.4,1.68,1.0,0.3
17,0.3,3.64,0.69,0.34
0,0.8,3.77,0.89,0.52
36,0.7,5.6,0.74,0.68
3,0.5,0.83,1.0,0.16
15,0.5,6.27,1.0,0.32
39,0.9,6.69,0.76,0.71
33,0.7,8.94,0.75,0.68
3,0.8,1.34,1.0,0.18
20,0.1,1.51,1.0,0.51
3,0.3,0.61,1.0,0.12
2,0.2,0.34,1.0,0.15
3,0.2,0.47,1.0,0.15
30,0.1,0.97,0.09,0.03
5,0.9,5.41,0.91,0.54
32,0.8,10.36,0.75,0.69
20,0.3,7.14,1.0,0.62
20,0.2,3.5,1.0,0.59
22,0.7,12.41,1.0,0.68
24,1.0,5.63,1.0,0.69
19,0.6,7.81,0.64,0.48
16,0.4,1.94,0.78,0.32
21,0.7,10.5,1.0,0.69
7,0.3,0.31,1.0,0.18
35,0.1,0.75,0.46,0.25
24,0.2,0.49,1.0,0.62
36,0.3,2.0,0.65,0.49
2,0.6,0.89,1.0,0.17
29,1.0,25.5,1.0,0.7
34,0.7,9.48,0.75,0.68
2,1.0,1.32,1.0,0.2
27,0.1,0.49,1.0,0.53
23,0.8,10.41,1.0,0.69
20,0.7,22.66,1.0,0.7
26,0.8,16.1,1.0,0.71
1,0.4,1.54,1.0,0.37
13,0.9,16.68,1.0,0.47
17,1.0,14.05,0.71,0.45
4,0.7,0.95,1.0,0.19
14,0.7,7.26,1.0,0.46
8,0.1,0.26,1.0,0.11
20,0.6,21.79,1.0,0.69
35,0.5,3.15,0.57,0.48
7,0.8,0.83,1.0,0.24
7,0.9,0.97,1.0,0.23
24,0.2,0.49,1.0,0.62
20,1.0,29.73,1.0,0.72
34,0.2,2.72,0.54,0.37
37,0.1,0.44,0.46,0.26
30,0.3,2.08,0.02,0.01
15,0.7,12.68,1.0,0.35
2,0.9,1.26,1.0,0.19
5,1.0,5.89,0.88,0.57
6,0.7,8.39,1.0,0.54
11,0.1,1.0,1.0,0.25
21,0.2,2.21,1.0,0.62
1,0.2,0.89,1.0,0.28
30,0.5,3.2,0.01,0.01
37,0.5,2.24,0.75,0.66
5,0.1,1.13,1.0,0.28
36,0.9,7.05,0.75,0.7
33,0.4,4.79,0.73,0.61
6,0.9,10.76,1.0,0.53
6,0.9,10.76,1.0,0.53
3,0.9,1.53,1.0,0.19
20,1.0,29.73,1.0,0.72
11,0.2,1.76,1.0,0.29
15,0.3,3.31,1.0,0.31
15,0.8,15.66,1.0,0.35
39,0.7,5.01,0.75,0.68
16,0.6,4.02,0.79,0.35
38,0.7,5.04,0.75,0.68
22,0.9,17.71,1.0,0.69
26,0.2,3.62,1.0,0.63
24,0.9,5.85,1.0,0.68
15,0.7,12.68,1.0,0.35
10,0.7,3.45,1.0,0.35
36,1.0,7.85,0.75,0.71
33,0.8,10.6,0.76,0.69
9,0.7,1.0,1.0,0.24
9,0.3,0.37,1.0,0.18
6,0.8,9.31,1.0,0.55
30,0.9,5.23,0.02,0.01
28,1.0,27.68,1.0,0.7
11,0.3,2.74,1.0,0.31
17,0.4,7.94,0.69,0.36
9,1.0,1.38,1.0,0.25
32,0.6,8.69,0.75,0.66
14,0.9,10.96,1.0,0.48
18,0.7,11.23,0.67,0.48
38,1.0,7.47,0.76,0.72
37,0.5,2.24,0.75,0.66
13,0.5,5.87,1.0,0.41
1,0.5,1.87,1.0,0.42
30,0.7,4.17,0.01,0.01
12,0.3,3.07,1.0,0.34
36,0.6,4.78,0.75,0.66
15,0.6,9.65,1.0,0.34
30,0.3,2.08,0.02,0.01
26,0.8,16.1,1.0,0.71
38,0.4,2.7,0.73,0.61
29,1.0,25.5,1.0,0.7
35,0.1,0.75,0.46,0.25
30,0.2,1.52,0.03,0.01
25,0.1,1.08,1.0,0.51
29,0.4,6.24,1.0,0.66
15,0.2,3.11,1.0,0.28
13,0.5,5.87,1.0,0.41
15,0.4,5.1,1.0,0.3
16,0.3,1.68,0.77,0.31
11,1.0,17.77,1.0,0.37
2,0.5,0.71,1.0,0.16
10,0.1,0.86,1.0,0.24
20,0.3,7.14,1.0,0.62
27,0.2,0.98,1.0,0.63
5,0.2,1.62,1.0,0.43
5,0.5,3.14,0.98,0.51
18,0.1,1.21,0.61,0.28
22,0.8,14.68,1.0,0.69
37,0.6,3.1,0.75,0.67
0,0.1,0.91,1.0,0.26
21,0.6,9.3,1.0,0.69
27,0.7,6.24,1.0,0.69
31,0.2,1.78,0.36,0.24
13,1.0,19.94,1.0,0.47
31,0.7,6.56,0.64,0.55
8,0.9,1.43,1.0,0.23
20,0.2,3.5,1.0,0.59
17,0.2,2.05,0.69,0.3
27,0.2,0.98,1.0,0.63
28,0.9,23.01,1.0,0.7
16,0.2,0.83,0.78,0.28
33,0.6,7.65,0.75,0.67
23,0.8,10.41,1.0,0.69
18,0.5,6.51,0.66,0.42
6,0.6,7.6,1.0,0.51
36,0.9,7.05,0.75,0.7
33,0.2,2.1,0.54,0.37
31,0.9,7.98,0.65,0.59
22,0.1,1.0,1.0,0.53
18,1.0,14.66,None,None
