A,p,t,R_train_A_p,R_validation_A_p
32,0.1,6.66,0.25,0.25
32,0.2,12.16,0.25,0.25
32,0.3,15.9,0.25,0.25
32,0.4,18.87,0.26,0.26
32,0.5,20.8,0.26,0.26
32,0.6,22.55,0.26,0.26
32,0.7,27.83,0.26,0.26
32,0.8,26.62,0.25,0.26
32,0.9,31.22,0.25,0.26
32,1.0,32.22,0.25,0.26
39,0.1,3.26,0.25,0.25
39,0.2,5.05,0.25,0.25
39,0.3,7.1,0.25,0.25
39,0.4,8.59,0.26,0.26
39,0.5,9.76,0.26,0.26
39,0.6,11.65,0.26,0.26
39,0.7,12.94,0.26,0.26
39,0.8,12.88,0.25,0.26
39,0.9,14.89,0.25,0.26
39,1.0,14.94,0.25,0.26
29,0.1,719.35,0.73,-0.15
29,0.2,164.76,None,None
