A,p,t,R_train_A_p,R_validation_A_p
39,1.0,7.43,0.76,0.72
30,0.9,5.23,0.02,0.01
10,0.1,0.86,1.0,0.24
5,0.6,3.8,0.96,0.52
12,0.8,12.78,1.0,0.42
28,0.7,15.13,1.0,0.7
34,0.5,7.85,0.75,0.65
9,0.8,1.1,1.0,0.24
15,0.3,3.31,1.0,0.31
33,0.2,2.1,0.54,0.37
35,0.8,4.6,0.64,0.59
35,0.7,4.06,0.63,0.57
21,0.2,2.21,1.0,0.62
21,0.9,13.13,1.0,0.7
17,1.0,14.05,0.71,0.45
2,1.0,1.32,1.0,0.2
11,1.0,17.77,1.0,0.37
22,0.3,4.17,1.0,0.64
28,0.5,8.91,1.0,0.67
0,0.3,1.64,1.0,0.44
35,0.5,3.15,0.57,0.48
21,1.0,15.29,1.0,0.69
20,0.9,23.32,1.0,0.71
18,0.4,4.57,0.64,0.38
15,0.7,12.68,1.0,0.35
23,0.9,12.4,1.0,0.68
36,1.0,7.85,0.75,0.71
0,0.1,0.91,1.0,0.26
35,0.8,4.6,0.64,0.59
30,0.8,4.68,0.01,0.01
12,0.4,4.11,1.0,0.36
37,0.7,3.69,0.75,0.68
7,0.5,0.49,1.0,0.22
33,0.2,2.1,0.54,0.37
4,0.5,0.68,1.0,0.16
18,0.5,6.51,0.66,0.42
13,0.4,4.14,1.0,0.38
10,0.9,5.5,1.0,0.36
27,0.3,1.63,1.0,0.63
30,0.5,3.2,0.01,0.01
35,0.7,4.06,0.63,0.57
20,0.1,1.51,1.0,0.51
3,0.3,0.61,1.0,0.12
36,0.5,3.6,0.73,0.65
26,0.5,9.31,1.0,0.67
38,0.4,2.7,0.73,0.61
15,0.3,3.31,1.0,0.31
3,0.8,1.34,1.0,0.18
26,0.7,13.99,1.0,0.7
24,0.9,5.85,1.0,0.68
13,0.9,16.68,1.0,0.47
5,0.1,1.13,1.0,0.28
26,0.1,2.66,1.0,0.52
33,0.5,6.16,0.75,0.65
26,0.2,3.62,1.0,0.63
12,0.6,7.58,1.0,0.4
6,0.5,5.98,1.0,0.5
23,0.5,4.63,1.0,0.67
17,0.1,1.04,0.7,0.28
30,0.3,2.08,0.02,0.01
27,0.2,0.98,1.0,0.63
29,0.9,21.64,1.0,0.7
25,1.0,23.53,1.0,0.74
28,0.2,2.97,1.0,0.62
27,1.0,11.18,1.0,0.71
20,0.9,23.32,1.0,0.71
10,0.3,1.34,1.0,0.31
9,0.5,0.63,1.0,0.22
29,0.4,6.24,1.0,0.66
18,0.9,17.32,0.67,0.49
5,1.0,5.89,0.88,0.57
33,0.5,6.16,0.75,0.65
1,0.3,1.22,1.0,0.32
22,0.3,4.17,1.0,0.64
18,0.7,11.23,0.67,0.48
6,0.3,3.93,1.0,0.43
9,0.8,1.1,1.0,0.24
27,0.2,0.98,1.0,0.63
19,0.5,6.08,0.63,0.45
19,0.1,1.02,0.54,0.28
6,0.8,9.31,1.0,0.55
38,1.0,7.47,0.76,0.72
18,0.4,4.57,0.64,0.38
36,0.5,3.6,0.73,0.65
26,0.4,7.78,1.0,0.68
25,0.7,15.95,1.0,0.71
19,0.1,1.02,0.54,0.28
34,0.4,6.0,0.73,0.61
